id,sold_price,predicted_price
325477,220000,216952.82284374998
416873,280000,252623.54609375005
1757068,155000,161452.6595
1452625,750000,535412.5540312501
1771178,115000,115641.29423437499
1181584,427000,410356.054125
1566333,511000,508897.26259375
1009634,290000,239580.510625
1589119,215000,206175.524953125
370446,450000,458503.0555625
1442601,269000,275334.8
381838,480000,478887.734375
1292766,399500,406375.44346875
1699378,295000,284867.31832812505
1094048,170000,197281.68075
1208543,330000,335972.8791875
468048,100000,104494.71292187499
1345808,205000,217325.16974999997
1160996,455000,435749.35375
819912,212000,194123.813375
827530,265000,260842.85150000002
268545,189000,194625.77653125
812356,125000,133858.96129687503
1929712,515000,517988.348125
1641214,210000,210529.89171875
643427,270000,275317.26818749995
1463901,235000,217325.16974999997
1299048,150000,148753.34968749998
1216991,300000,301710.436875
843739,386000,378140.69974999997
1855645,155000,166227.985
420479,495000,534604.484625
911262,110000,109142.672234375
1112292,649000,645115.2643125
282857,182000,188029.75246875003
1718593,307500,315078.364
1452447,180000,245329.2065
1512973,570000,582456.1640625
237386,220000,219583.428625
1193605,2400000,2400958.0968750003
208389,440000,437221.59025
462038,286000,282190.468375
339893,575000,334176.86940625
1082556,295000,290196.765
1056987,96000,97159.39576562501
1695524,360000,353951.410625
286636,447500,458999.0434375
104632,2300000,2299180.2729999996
858089,260000,266215.003875
661178,700000,685083.2284375
1186212,235000,242607.8923125
988565,540000,531107.236
1302818,147000,144371.48596875
295039,855000,843950.5170625001
1589402,522200,526343.5509375
330904,490000,515269.27165625006
1025989,480000,374028.78659375
341103,171000,241623.606
824315,394000,374429.1219375
622593,255000,232423.55620312502
1047417,500000,505779.0176875
1472096,577000,576888.3876875
1414520,360000,348731.429375
1211965,316411,347407.039875
1231028,375000,346498.6381875
1429946,645000,645255.015625
1779845,350000,350801.92312500003
1468290,115250,123762.23376562499
508322,145000,156820.991234375
1011598,230000,222736.66684375002
1741348,750000,743864.8184999999
1817819,300000,299012.9615
1253776,355000,347709.23281250003
237419,365000,380518.797
264068,290000,279382.799765625
368865,255000,254700.6884375
1550750,335000,341540.01525
96339,235000,290216.9649375
245802,400000,402865.67146875
1358087,387500,352267.62515624997
1239186,175000,170852.98106249998
1772314,280000,267403.59871875
1734455,685260,694306.09525
424525,215000,217730.47275
703980,730000,741532.0684375
301824,245000,239976.30525
309431,500000,493628.22599999997
1350874,185000,189851.438953125
827400,390000,383378.94425
483567,310000,196107.18951562498
223108,105000,109085.1475
1445055,76000,83307.39057812499
1165995,96000,95420.24234375
1771358,175000,188174.418875
1414562,255000,252684.8690625
162112,245000,233479.58790625
1678160,180000,251951.8040625
1689196,239000,237893.45109375002
763496,440000,456052.14321875
1865862,307000,309768.888
1901373,195000,197878.601953125
142640,156500,147980.1471875
1535981,350000,334977.40734375
934335,212000,166647.1925625
1206862,290000,301885.364765625
859156,205000,171470.75765625
1528556,990000,655279.3991250001
1647519,160000,180468.97115625002
1550390,180000,181289.99059375
1352445,185000,192818.618484375
1794213,220000,225519.03615625002
1018026,377000,373058.88656250003
1718385,320000,305155.585
348582,282000,231558.18074999997
1148097,450000,443014.3158125
1596705,139000,146814.27559375
1087328,457000,457549.06181249995
1063909,185000,191581.75115625001
554250,284000,249328.440375
1380549,190000,205832.38546875
140508,362000,356370.613375
686728,753665,801630.2053125
592413,250000,187085.52731250002
1772278,303000,287735.6821875
1573679,400000,391851.91703125
1041809,540000,539391.1936875001
740459,229500,229051.268015625
1745709,383000,383886.63375000004
1315273,480000,476470.5108125
1360183,420000,413007.2409375
1337052,300000,253883.42578125
1816667,415000,521470.83624999993
505565,167000,170139.34025
1169874,300000,283702.8459375
1113870,235000,231334.64828125
1262326,87000,92738.53075781249
1143831,617000,599112.13375
541993,128000,123477.2935
1495570,380000,370959.55256250006
404555,140000,146577.939
881282,265000,260014.10575
645654,675000,681057.6207499999
1474488,297000,300691.6015625
1117189,247000,251149.58334375
1718065,94042,125623.46088281249
918929,637500,638368.6928124999
646045,740000,738973.6337499999
612703,196000,216805.73025000002
742990,247500,248469.39812499998
850451,350000,348289.5903125
66604,600000,589730.4596249999
1497646,157000,150309.17578125
683067,378000,353830.03987499996
408254,600000,565817.721875
1406855,380000,377585.33921874996
1467710,146000,167882.783203125
111284,245000,236510.45078125
591881,165000,152573.83192187498
615365,444113,448021.61037500005
980520,1630000,1632829.4725000001
42420,270000,277264.07393749995
1707578,292000,289913.87203125004
128009,295000,310545.56043749995
1467759,138000,177389.98812499997
400890,115000,133380.185859375
637218,202000,194048.71771875
789139,275000,286528.8765625
